agent_nr,rate,noise,Self,Other,trial,strategy
5,0.65,0.2,0,0,12,LSWS
5,0.65,0.2,1,0,13,LSWS
5,0.65,0.2,1,0,14,LSWS
5,0.65,0.2,1,0,15,LSWS
5,0.65,0.2,1,0,16,LSWS
5,0.65,0.2,1,1,17,LSWS
5,0.65,0.2,0,0,18,LSWS
5,0.65,0.2,1,1,19,LSWS
5,0.65,0.2,0,0,20,LSWS
5,0.65,0.2,1,1,21,LSWS
5,0.65,0.2,0,0,22,LSWS
5,0.65,0.2,1,0,23,LSWS
5,0.65,0.2,1,0,24,LSWS
5,0.65,0.2,1,1,25,LSWS
5,0.65,0.2,0,1,26,LSWS
5,0.65,0.2,0,1,27,LSWS
5,0.65,0.2,0,0,28,LSWS
5,0.65,0.2,1,0,29,LSWS
5,0.65,0.2,1,1,30,LSWS
5,0.65,0.2,0,1,31,LSWS
5,0.65,0.2,0,1,32,LSWS
5,0.65,0.2,0,1,33,LSWS
5,0.65,0.2,0,0,34,LSWS
5,0.65,0.2,1,0,35,LSWS
5,0.65,0.2,1,0,36,LSWS
5,0.65,0.2,1,1,37,LSWS
5,0.65,0.2,0,1,38,LSWS
5,0.65,0.2,0,1,39,LSWS
5,0.65,0.2,0,0,40,LSWS
5,0.65,0.2,1,1,41,LSWS
5,0.65,0.2,0,1,42,LSWS
5,0.65,0.2,0,1,43,LSWS
5,0.65,0.2,0,1,44,LSWS
5,0.65,0.2,0,1,45,LSWS
5,0.65,0.2,0,0,46,LSWS
5,0.65,0.2,1,0,47,LSWS
5,0.65,0.2,1,1,48,LSWS
5,0.65,0.2,0,1,49,LSWS
5,0.65,0.2,1,1,50,LSWS
5,0.65,0.2,0,1,51,LSWS
5,0.65,0.2,0,1,52,LSWS
5,0.65,0.2,0,1,53,LSWS
5,0.65,0.2,0,0,54,LSWS
5,0.65,0.2,1,0,55,LSWS
5,0.65,0.2,1,1,56,LSWS
5,0.65,0.2,1,0,57,LSWS
5,0.65,0.2,1,0,58,LSWS
5,0.65,0.2,1,0,59,LSWS
5,0.65,0.2,1,0,60,LSWS
5,0.65,0.2,1,1,61,LSWS
5,0.65,0.2,0,1,62,LSWS
5,0.65,0.2,1,0,63,LSWS
